,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
67162,mdp.39015010692179|Rebecca,mdp.39015010692179,1965,f,"Fadiman, Clifton,","Fifty years; being a retrospective collection of novels, novellas, tales, drama, poetry, and reportage and essays ... | $c: all drawn from volumes issued during the last half-century by Alfred and Blanche Knopf over this sign and device [The borzoi] The whole selected, assembled, and edited, with an introd. and sundry commentaries.",m,,1965,f,0
47661,uc2.ark+=13960=t4xg9fp6r|Anita,uc2.ark+=13960=t4xg9fp6r,1917,f,"Hughes, Rupert,",We can't have everything;,m,,1917,f,0
63834,uc1.$b100817|Felicia,uc1.$b100817,1958,f,"Ellis, William Donohue.",The Brooks legend.,m,,1958,f,0
27314,1960|Francisca,1960,1867,f,"Hammond, William Alexander,","Robert Severne, his friends and his enemies",m,,1867,f,0
26376,590|Mrs.Hinkley,590,1860,f,"Simms, William Gilmore,",Charlemont;,m,,1860,f,0
79790,inu.30000085374811|Darlene,inu.30000085374811,1998,f,"Frederick, Michael.",Ledges / | $c: Michael Frederick.,m,,1998,f,0
35161,9074|Kitty,9074,1883,f,"Thomes, William Henry,",The belle of Australia;,m,,1883,f,0
74160,uc1.$b785407|MissIvers,uc1.$b785407,1982,f,"Malouf, David,",Child's play ; with Eustace and The Prowler : | [three stories] / | $c: David Malouf.,m,,1982,f,0
51448,mdp.39015063539004|Winterton,mdp.39015063539004,1925,f,"Hope, Anthony,",Quisante | [a novel] | $c: by Anthony Hope [pseud.],m,,1925,f,0
54491,inu.39000005519892|Blanco,inu.39000005519892,1930,f,"Guzmán, Martín Luis,",The eagle and the serpent / | $c: translated from the Spanish by Harriet de Onis.,m,,1930,f,0
71485,mdp.39015020715614|Carla,mdp.39015020715614,1971,f,"Puig, Manuel.",Betrayed by Rita Hayworth. | $c: Translated by Suzanne Jill Levine.,m,,1971,f,0
21929,11573|MissJean,11573,1857,f,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,m,,1857,f,0
46038,uc2.ark+=13960=t7br8q676|MissCynthia,uc2.ark+=13960=t7br8q676,1919,f,"Robins, Edward,",Chasing an iron horse;,m,,1919,f,0
18700,2160|Lydia,2160,1849,f,"Neale, Erskine,",Experiences of a gaol chaplain;,m,,1849,f,0
14386,13870|BonMari,13870,1839,f,"Old Sailor,","Hamilton King, or, The smuggler and the dwarf",m,,1839,f,0
59799,uc1.b4411986|Margaret,uc1.b4411986,1940,f,"Farrell, James T. (James Thomas),",Father and son.,m,,1940,f,0
